WSD_INFORMATION	NUM_SENSES	SENSE	FIRST_YEAR_OCCURENCE	VALUE_FIRST_YEAR_OCCURENCE	MaxSenseGivenYear	MaxSenseGivenYearValue
Schistosoma mansoni	2	C0036319	1971	42	1971	1.000000	
Schistosoma mansoni	2	C0036330	1977	2	1998	0.544031	
HPS	2	C0079504	2000	24	2018	0.784314	
HPS	2	C0242994	1994	9	1994	1.000000	
Staph	2	C0038160	1945	2	1956	0.474820	
Staph	2	C0038170	1945	13	1974	0.927063	
LABOR	2	C0022864	1945	4	1980	0.756667	
LABOR	2	C0043227	1945	44	1945	0.916667	
CH	2	C0008115	1946	23	2016	0.964284	
CH	2	C0039021	1946	3	1969	0.937500	
Epi	2	C0014563	1945	20	1945	1.000000	
Epi	2	C0014582	1980	11	2015	0.373737	
Borrelia	2	C0006033	1979	17	1979	1.000000	
Borrelia	2	C0024198	1983	3	1991	0.949466	
Tax	2	C0039371	1975	6	1975	1.000000	
Tax	2	C0144576	1983	8	1999	0.972002	
Follicle	2	C0018120	1949	4	1966	1.000000	
Follicle	2	C0221971	1949	3	1957	0.680000	
HCl	2	C0020259	1946	8	1946	1.000000	
HCl	2	C0023443	1954	1	1987	0.738211	
Gas	2	C0016204	1945	2	1945	0.285714	
Gas	2	C0017110	1945	5	1950	1.000000	
PEP	2	C0031642	1971	38	1971	1.000000	
PEP	2	C0135981	1980	17	1985	0.698113	
Torula	2	C0010414	1945	2	1994	0.949686	
Torula	2	C0010415	1945	2	1972	0.548780	
TPA	2	C0032143	1982	1	2017	0.671111	
TPA	2	C0039654	1975	35	1975	1.000000	
Eels	2	C0013671	1951	6	1951	1.000000	
Eels	2	C0677644	2004	15	2008	0.312925	
Fe	2	C0302583	1945	21	1945	1.000000	
Fe	2	C0376520	1946	1	2011	0.120229	
Phosphorus	2	C0031705	1945	17	1966	1.000000	
Phosphorus	2	C0080014	1945	4	1948	0.335714	
HR	2	C0010343	1950	6	1954	0.578947	
HR	2	C0018810	1947	8	1947	1.000000	
pI	2	C0022171	1975	40	1989	0.800578	
pI	2	C0812425	1975	31	2018	0.623762	
Cortical	3	C0001613	1945	7	1950	0.651584	
Cortical	3	C0007776	1945	12	1966	1.000000	
Cortical	3	C0022655	1947	1	1974	0.202593	
NPC	2	C0028587	1998	125	1998	1.000000	
NPC	2	C0220756	2006	69	2018	0.350394	
DON	2	C0012020	1975	28	1975	1.000000	
DON	2	C0028652	1981	5	1998	1.000000	
CTX	2	C0010583	1960	22	1960	1.000000	
CTX	2	C0238052	1974	3	2018	0.075269	
PAC	2	C0033036	1995	15	1995	1.000000	
PAC	2	C0949780	2001	12	2005	0.697674	
BLM	2	C0005740	1971	32	1971	1.000000	
BLM	2	C0005859	1981	41	2001	0.412266	
NEUROFIBROMATOSIS	2	C0085113	1990	11	1990	1.000000	
NEUROFIBROMATOSIS	2	C0162678	1991	4	2013	0.395431	
POL	2	C0017360	1989	3	1995	0.457792	
POL	2	C0032356	1946	5	1946	1.000000	
Moles	2	C0027960	1946	19	1966	1.000000	
Moles	2	C0324740	1946	3	2008	0.563123	
SARS	2	C1175175	2002	3	2002	0.750000	
SARS	2	C1175743	2002	1	2014	0.622034	
TSF	2	C0021756	1977	4	1984	0.999252	
TSF	2	C0040052	1974	5	1974	1.000000	
Callus	2	C0006767	1972	7	1988	1.000000	
Callus	2	C0376154	1972	1	1983	0.314286	
Cholera	2	C0008354	1945	17	1945	1.000000	
Cholera	2	C0008359	1946	1	1990	0.327731	
Follicles	2	C0018120	1949	6	1966	1.000000	
Follicles	2	C0221971	1949	3	1962	0.653846	
Laryngeal	2	C0023078	1945	14	1966	1.000000	
Laryngeal	2	C0023081	1945	1	1965	0.153226	
Orf	2	C0013570	1980	14	1980	1.000000	
Orf	2	C0079941	1982	2	1992	0.992958	
TRF	2	C0021759	1980	7	2017	0.623377	
TRF	2	C0040162	1968	8	1968	1.000000	
Retinal	2	C0035298	1945	5	1949	1.000000	
Retinal	2	C0035331	1945	2	1945	0.285714	
ADP	2	C0001459	1956	4	1956	1.000000	
ADP	2	C0004374	1959	1	1968	1.000000	
dC	2	C0011485	1973	9	1984	0.918367	
dC	2	C0012764	1966	6	1966	1.000000	
Brucella abortus	2	C0006304	1946	8	1949	1.000000	
Brucella abortus	2	C0302363	1946	1	1965	0.552632	
PVC	2	C0032624	1974	6	1974	1.000000	
PVC	2	C0151636	1988	2	2017	0.678190	
lens	3	C0023308	1952	3	1953	0.054054	
lens	3	C0023317	1945	8	1991	0.976935	
lens	3	C0023318	1945	6	1947	0.593750	
Respiration	2	C0035203	1945	16	1966	1.000000	
Respiration	2	C0282636	1945	11	1949	0.426667	
tomography	2	C0040395	1947	3	1966	1.000000	
tomography	2	C0040405	1947	5	1986	0.997537	
Cardiac pacemaker	2	C0030163	1954	2	1969	0.928571	
Cardiac pacemaker	2	C0037189	1954	4	1954	0.666667	
ADA	2	C0001457	1955	3	1957	1.000000	
ADA	2	C0002456	1955	2	1966	1.000000	
STEM	2	C0162731	1992	22	1992	1.000000	
STEM	2	C0242767	1994	15	2018	0.992736	
MCC	2	C0007129	1988	18	1988	1.000000	
MCC	2	C0162804	1991	1	2014	0.215700	
SS	2	C0039101	1948	4	1948	1.000000	
SS	2	C0085077	1964	1	2007	0.559846	
CRF	2	C0010132	1956	1	1987	0.648318	
CRF	2	C0022661	1954	5	1954	1.000000	
Tolerance	2	C0013220	1946	20	1985	0.750594	
Tolerance	2	C0020963	1946	9	1966	0.726496	
WT1	2	C0027708	1946	9	1946	1.000000	
WT1	2	C0148873	1991	4	2013	0.741810	
HHV 8	2	C0036220	1953	7	1953	1.000000	
HHV 8	2	C0376526	1996	167	2018	0.750182	
Arteriovenous Anastomoses	2	C0225984	1950	15	1966	1.000000	
Arteriovenous Anastomoses	2	C0684204	1950	15	2002	0.928571	
AA	2	C0001972	1947	1	1998	0.020866	
AA	2	C0002520	1945	35	1945	1.000000	
Digestive	2	C0012238	1945	4	2017	0.883633	
Digestive	2	C0012240	1945	2	1968	0.645833	
Medullary	2	C0001629	1946	4	1946	1.000000	
Medullary	2	C0025148	1947	6	2018	0.961538	
MAF	2	C0079786	1980	6	1980	1.000000	
MAF	2	C0919482	1998	7	2007	1.000000	
MRS	2	C0024487	1961	1	2017	0.997233	
MRS	2	C0025235	1950	4	1950	1.000000	
CI	2	C0008107	1949	4	1949	1.000000	
CI	2	C0022326	1951	5	1981	0.477064	
Ice	3	C0020746	1946	10	1946	0.909091	
Ice	3	C0025611	1946	1	1979	0.933333	
Ice	3	C0534519	1991	13	1997	0.658984	
DDD	2	C0011037	1962	4	1962	1.000000	
DDD	2	C0026256	1963	3	1988	1.000000	
Cement	2	C0011343	1957	1	1966	1.000000	
Cement	2	C1706094	1957	5	1957	0.833333	
Astragalus	2	C0039277	1947	3	1948	1.000000	
Astragalus	2	C0330845	1947	1	2018	0.517500	
BAT	2	C0006298	1949	2	1985	0.812500	
BAT	2	C0008139	1946	9	1946	1.000000	
Lupus	3	C0024131	1945	6	1945	0.500000	
Lupus	3	C0024138	1946	2	1963	0.212928	
Lupus	3	C0024141	1945	6	2016	0.991311	
Lawsonia	2	C0752045	2000	13	2000	1.000000	
Lawsonia	2	C1068388	2002	3	2016	0.666667	
Fish	2	C0016163	1945	10	1945	1.000000	
Fish	2	C0162789	1953	1	1995	0.626502	
RSV	2	C0035236	1960	1	1966	1.000000	
RSV	2	C0086943	1955	7	1955	1.000000	
DDS	3	C0010980	1960	7	1960	1.000000	
DDS	3	C0085104	1990	13	2018	0.979390	
DDS	3	C0950121	2001	4	2005	0.033970	
HGF	2	C0021760	1984	2	1988	0.996855	
HGF	2	C0062534	1984	4	1984	0.666667	
drinking	2	C0001948	1946	3	2012	0.981452	
drinking	2	C0684271	1946	1	1966	1.000000	
JP	2	C0022341	1946	15	1946	1.000000	
JP	2	C0031106	1947	2	1949	0.636364	
Iris	2	C0022077	1945	4	1945	1.000000	
Iris	2	C1001362	1946	1	1950	0.187500	
Pleuropneumonia	2	C0026934	1945	3	1958	1.000000	
Pleuropneumonia	2	C0032241	1945	3	1945	0.500000	
TMJ	2	C0039493	1946	7	2018	0.967495	
TMJ	2	C0039496	1946	2	1983	0.456311	
TYR	2	C0041484	1945	2	2018	0.633531	
TYR	2	C0041485	1945	2	1966	1.000000	
NM	2	C0025033	1946	17	1950	1.000000	
NM	2	C0027972	1946	1	2017	0.808874	
Projection	2	C0016538	1970	1	2016	0.998679	
Projection	2	C0033363	1970	3	1977	0.818182	
NBS	2	C0027819	1947	5	1947	1.000000	
NBS	2	C0398791	2002	3	2012	0.052885	
TPO	2	C0021965	1975	4	1993	0.989796	
TPO	2	C0040052	1974	5	1974	1.000000	
SARS-associated coronavirus	2	C1175175	2002	3	2002	0.750000	
SARS-associated coronavirus	2	C1175743	2002	1	2014	0.622034	
B-Cell Leukemia	2	C0023434	1986	15	1986	1.000000	
B-Cell Leukemia	2	C2004493	1988	5	1995	0.011567	
PR	2	C0034044	1945	5	1945	1.000000	
PR	2	C0034833	1973	3	1988	0.961175	
EGG	2	C0013710	1945	8	1945	0.800000	
EGG	2	C0029974	1945	2	1974	0.822816	
eCG	2	C0018064	1945	1	1946	0.125000	
eCG	2	C1623258	1945	14	1949	1.000000	
MBP	2	C0014063	1973	15	1973	1.000000	
MBP	2	C0065661	1984	1	2012	0.730364	
US	2	C0041618	1945	1	1988	0.738085	
US	2	C0041703	1945	24	1946	1.000000	
FTC	2	C0041713	1982	29	1982	1.000000	
FTC	2	C0206682	1993	45	2018	1.000000	
ERP	2	C0008310	1978	1	2018	0.627060	
ERP	2	C0015214	1956	4	1956	1.000000	
Plaque	2	C0011389	1950	1	1966	1.000000	
Plaque	2	C0333463	1950	3	1952	1.000000	
Phosphorylase	2	C0017916	1971	27	1971	1.000000	
Phosphorylase	2	C0917783	1973	12	2002	0.850000	
Ion	2	C0022023	1945	6	1945	1.000000	
Ion	2	C0022024	1946	2	1995	0.359327	
Hemlock	2	C0242872	2002	1	2017	0.471429	
Hemlock	2	C0949851	2002	37	2003	1.000000	
Hip	2	C0019552	1946	19	1946	1.000000	
Hip	2	C0022122	1947	2	1965	0.125000	
TLC	2	C0008569	1959	3	1961	1.000000	
TLC	2	C0040509	1959	2	1959	0.400000	
Wasp	2	C0043041	1975	17	1975	1.000000	
Wasp	2	C0258432	1994	2	1999	0.798526	
Milk	2	C0026131	1945	21	1947	0.915385	
Milk	2	C0026140	1945	19	1945	0.475000	
RBC	2	C0014772	1945	2	1945	0.076923	
RBC	2	C0014792	1945	24	1956	0.995614	
Ventricles	2	C0007799	1945	1	1946	0.235294	
Ventricles	2	C0018827	1945	6	2018	0.985309	
INDO	2	C0021246	1963	4	1987	0.977448	
INDO	2	C0021247	1949	11	1949	1.000000	
ADH	2	C0001942	1976	7	2018	0.922601	
ADH	2	C0003779	1975	49	1975	1.000000	
Nursing	2	C0006147	1945	15	2016	0.931479	
Nursing	2	C0028677	1945	13	1966	0.969212	
Ala	3	C0001898	1947	16	1948	1.000000	
Ala	3	C0002563	1953	2	2002	0.558336	
Ala	3	C0051405	1947	1	2017	0.390398	
PCD	2	C0022521	1971	9	1971	1.000000	
PCD	2	C0162638	1991	4	1999	0.998774	
Ganglion	2	C0017067	1946	4	1953	1.000000	
Ganglion	2	C1258666	1946	1	2018	0.604651	
posterior pituitary	2	C0032009	1946	4	1946	1.000000	
posterior pituitary	2	C0032017	1947	1	1967	0.444444	
ALS	2	C0002736	1948	5	1948	1.000000	
ALS	2	C0003372	1968	58	1969	0.850515	
Compliance	2	C0009563	1974	3	1976	0.538462	
Compliance	2	C1321605	1974	4	2015	0.943307	
MHC	2	C0024518	1978	56	1978	1.000000	
MHC	2	C0027100	1986	10	2002	0.522796	
Polymyalgia Rheumatica	2	C0032533	1957	2	1972	0.529412	
Polymyalgia Rheumatica	2	C0039483	1957	4	1958	1.000000	
BPD	2	C0006012	1980	6	1980	1.000000	
BPD	2	C0006287	1981	10	1990	0.679245	
Potassium	2	C0032821	1945	10	1945	1.000000	
Potassium	2	C0162800	1948	1	2018	0.158476	
SLS	2	C0037231	1991	22	2010	0.068021	
SLS	2	C0037506	1971	9	1971	1.000000	
CPDD	2	C0008838	1972	1	2015	0.997267	
CPDD	2	C0553730	1971	4	1971	1.000000	
THYMUS	3	C0040112	1949	1	1955	0.123894	
THYMUS	3	C0040113	1946	19	1966	1.000000	
THYMUS	3	C1015036	1946	7	1958	0.418033	
Malaria	2	C0024530	1945	120	1947	1.000000	
Malaria	2	C0206255	1945	1	1996	0.136999	
Cell	2	C0007634	1969	10	1969	1.000000	
Cell	2	C1136359	1999	6	2003	0.283465	
ANA	2	C0002463	1963	1	1966	0.619048	
ANA	2	C0003243	1962	6	1962	1.000000	
ORI	2	C0206601	1993	31	1993	0.837838	
ORI	2	C0242961	1993	6	2007	0.924928	
cRNA	2	C0056208	1982	6	2002	0.785000	
cRNA	2	C1321571	1975	4	1975	1.000000	
Parotitis	2	C0026780	1945	6	2015	0.939791	
Parotitis	2	C0030583	1945	5	1945	0.454545	
Root	2	C0040452	1945	1	1967	1.000000	
Root	2	C0242726	1945	6	1957	0.971429	
PAF	2	C0032172	1979	6	1979	1.000000	
PAF	2	C0037019	1980	16	1980	0.136752	
Sterilization	2	C0038280	1945	7	1999	0.920732	
Sterilization	2	C0038288	1945	6	1979	0.553922	
FA	2	C0015625	1946	1	1997	0.463508	
FA	2	C0016410	1945	16	1945	1.000000	
CAD	2	C0011905	1983	5	1983	1.000000	
CAD	2	C1956346	1985	4	2016	0.989852	
BSE	2	C0085105	1991	99	1991	0.712230	
BSE	2	C0085209	1991	40	2011	0.884393	
Coffee	2	C0009237	1960	12	1960	1.000000	
Coffee	2	C0085952	1962	1	2005	0.364185	
SPR	2	C0164209	1981	5	1981	1.000000	
SPR	2	C0597731	1998	74	2016	0.967369	
WBS	2	C0004903	1982	6	1982	1.000000	
WBS	2	C0175702	1995	33	2017	0.861055	
Cortex	2	C0001614	1950	1	1952	0.099476	
Cortex	2	C0007776	1945	12	1945	1.000000	
TMP	2	C0040079	1975	4	2014	0.251984	
TMP	2	C0041041	1970	8	1970	1.000000	
veterinary	2	C0042615	1945	25	1945	1.000000	
veterinary	2	C0206212	1963	1	2005	0.202469	
TAT	3	C0017375	1989	15	1992	0.306238	
TAT	3	C0039341	1985	2	2018	1.000000	
TAT	3	C0039756	1975	19	1975	1.000000	
Glycoside	2	C0007158	1946	8	1985	0.682927	
Glycoside	2	C0017977	1946	6	2004	0.972816	
DAT	2	C0002395	1974	5	1974	1.000000	
DAT	2	C0114838	1989	8	2004	0.091768	
CLS	2	C0265252	2002	23	2006	0.818182	
CLS	2	C0343084	1996	23	1996	1.000000	
RB	2	C0035335	1947	5	1947	1.000000	
RB	2	C0035930	1951	9	1971	0.626374	
DE	2	C0011198	1945	1	1974	0.818182	
DE	2	C0017480	1945	7	2017	0.995698	
Erythrocytes	2	C0014772	1945	2	1945	0.076923	
Erythrocytes	2	C0014792	1945	24	1956	0.995614	
Adrenal	2	C0001625	1945	24	1946	0.664671	
Adrenal	2	C0014563	1945	20	1987	0.662557	
Heregulin	2	C0626201	1994	21	2014	0.922105	
Heregulin	2	C0752253	1992	9	1992	1.000000	
Ca	3	C0006675	1945	27	1986	0.961786	
Ca	3	C0006754	1945	9	1948	0.280303	
Ca	3	C0006823	1945	8	1951	0.264264	
DBA	2	C0025923	1972	5	1972	1.000000	
DBA	2	C1260899	2001	1	2009	0.852941	
