WSD	WSD_BASELINE_EMERGENCE	Sense	SenseBASELINE_EMERGENCE	Year
pI	0	C0812425	0	1947
Cortical	0	C0001613	0	1945
Cortical	0	C0007776	0	1945
Cortical	0	C0022655	0	1947
NPC	1	C0028587	0	1959
NPC	1	C0220756	1	2006
DON	1	C0028652	0	1948
DON	1	C0012020	1	1956
CTX	1	C0010583	0	1951
CTX	1	C0238052	1	1957
PAC	1	C0033036	0	1949
PAC	1	C0949780	1	2001
BLM	1	C0005859	0	1954
BLM	1	C0005740	1	1970
NEUROFIBROMATOSIS	1	C0162678	0	1945
NEUROFIBROMATOSIS	1	C0085113	1	1990
POL	1	C0032356	0	1946
POL	1	C0017360	1	1989
Moles	0	C0027960	0	1945
Moles	0	C0324740	0	1946
SARS	0	C1175175	0	1953
SARS	0	C1175743	0	1953
TSF	1	C0040052	0	1958
TSF	1	C0021756	1	1964
Callus	0	C0006767	0	1947
Callus	0	C0376154	0	1947
Cholera	0	C0008354	0	1945
Cholera	0	C0008359	0	1946
Follicles	0	C0018120	0	1945
Follicles	0	C0221971	0	1945
Laryngeal	0	C0023078	0	1945
Laryngeal	0	C0023081	0	1945
Orf	1	C0013570	0	1946
Orf	1	C0079941	1	1982
TRF	1	C0040162	0	1956
TRF	1	C0021759	1	1980
Retinal	0	C0035298	0	1944
Retinal	0	C0035331	0	1945
ADP	1	C0001459	0	1947
ADP	1	C0004374	1	1959
dC	1	C0012764	0	1945
dC	1	C0011485	1	1958
Brucella abortus	0	C0006304	0	1943
Brucella abortus	0	C0302363	0	1946
PVC	0	C0151636	0	1946
PVC	0	C0032624	0	1947
lens	1	C0023317	0	1945
lens	1	C0023318	0	1945
lens	1	C0023308	1	1952
Respiration	0	C0035203	0	1945
Respiration	0	C0282636	0	1945
tomography	0	C0040405	0	1945
tomography	0	C0040395	0	1947
Cardiac pacemaker	0	C0030163	0	1949
Cardiac pacemaker	0	C0037189	0	1949
ADA	0	C0001457	0	1946
ADA	0	C0002456	0	1946
STEM	0	C0242767	0	1945
STEM	0	C0162731	0	1947
MCC	1	C0007129	0	1953
MCC	1	C0162804	1	1991
SS	1	C0039101	0	1945
SS	1	C0085077	1	1964
CRF	1	C0022661	0	1950
CRF	1	C0010132	1	1956
Tolerance	0	C0013220	0	1945
Tolerance	0	C0020963	0	1945
WT1	1	C0027708	0	1946
WT1	1	C0148873	1	1991
HHV 8	1	C0036220	0	1946
HHV 8	1	C0376526	1	1996
Arteriovenous Anastomoses	0	C0225984	0	1945
Arteriovenous Anastomoses	0	C0684204	0	1945
AA	0	C0002520	0	1945
AA	0	C0001972	0	1947
sex factor	1	C0036881	0	1946
sex factor	1	C0015435	1	1956
Murine sarcoma virus	1	C0026630	0	1970
Murine sarcoma virus	1	C0026399	1	1984
Digestive	0	C0012238	0	1945
Digestive	0	C0012240	0	1945
Medullary	0	C0001629	0	1945
Medullary	0	C0025148	0	1945
MAF	1	C0079786	0	1980
MAF	1	C0919482	1	1998
MRS	1	C0025235	0	1947
MRS	1	C0024487	1	1961
CI	1	C0008107	0	1945
CI	1	C0022326	1	1951
Ice	1	C0020746	0	1945
Ice	1	C0025611	0	1945
Ice	1	C0534519	1	1991
DDD	1	C0011037	0	1946
DDD	1	C0026256	1	1959
Cement	0	C0011343	0	1946
Cement	0	C1706094	0	1947
Astragalus	0	C0039277	0	1946
Astragalus	0	C0330845	0	1947
BAT	0	C0008139	0	1945
BAT	0	C0006298	0	1949
Lupus	0	C0024131	0	1945
Lupus	0	C0024141	0	1945
Lupus	0	C0024138	0	1946
Lawsonia	0	C0752045	0	1999
Lawsonia	0	C1068388	0	2002
Fish	1	C0016163	0	1945
Fish	1	C0162789	1	1953
RSV	1	C0086943	0	1948
RSV	1	C0035236	1	1960
DDS	1	C0010980	0	1946
DDS	1	C0085104	0	1948
DDS	1	C0950121	1	2001
HGF	1	C0062534	0	1965
HGF	1	C0021760	1	1983
drinking	0	C0001948	0	1946
drinking	0	C0684271	0	1946
JP	0	C0022341	0	1945
JP	0	C0031106	0	1945
Iris	0	C0022077	0	1944
Iris	0	C1001362	0	1946
Pleuropneumonia	0	C0026934	0	1945
Pleuropneumonia	0	C0032241	0	1945
TMJ	0	C0039493	0	1946
TMJ	0	C0039496	0	1946
TYR	0	C0041484	0	1945
TYR	0	C0041485	0	1945
NM	0	C0025033	0	1946
NM	0	C0027972	0	1946
Projection	0	C0016538	0	1946
Projection	0	C0033363	0	1946
NBS	1	C0027819	0	1945
NBS	1	C0398791	1	2002
TPO	0	C0021965	0	1954
TPO	0	C0040052	0	1958
SARS-associated coronavirus	0	C1175175	0	1953
SARS-associated coronavirus	0	C1175743	0	1953
B-Cell Leukemia	1	C0023434	0	1946
B-Cell Leukemia	1	C2004493	1	1988
PR	1	C0034044	0	1945
PR	1	C0034833	1	1973
EGG	0	C0013710	0	1945
EGG	0	C0029974	0	1945
eCG	0	C0018064	0	1945
eCG	0	C1623258	0	1945
MBP	1	C0014063	0	1972
MBP	1	C0065661	1	1984
US	0	C0041618	0	1945
US	0	C0041703	0	1945
FTC	1	C0206682	0	1952
FTC	1	C0041713	1	1961
ERP	1	C0015214	0	1948
ERP	1	C0008310	1	1978
Plaque	0	C0011389	0	1946
Plaque	0	C0333463	0	1947
Phosphorylase	0	C0017916	0	1946
Phosphorylase	0	C0917783	0	1946
Ion	0	C0022023	0	1945
Ion	0	C0022024	0	1946
Hemlock	1	C0242872	0	1954
Hemlock	1	C0949851	1	1962
Hip	0	C0019552	0	1945
Hip	0	C0022122	0	1947
TLC	0	C0040509	0	1954
TLC	0	C0008569	0	1956
Wasp	1	C0043041	0	1945
Wasp	1	C0258432	1	1994
Milk	0	C0026131	0	1945
Milk	0	C0026140	0	1945
RBC	0	C0014772	0	1945
RBC	0	C0014792	0	1945
Ventricles	0	C0007799	0	1945
Ventricles	0	C0018827	0	1945
INDO	1	C0021247	0	1946
INDO	1	C0021246	1	1963
ADH	1	C0001942	0	1948
ADH	1	C0003779	1	1954
Nursing	0	C0006147	0	1945
Nursing	0	C0028677	0	1945
Ala	1	C0001898	0	1945
Ala	1	C0051405	0	1947
Ala	1	C0002563	1	1953
PCD	1	C0022521	0	1946
PCD	1	C0162638	1	1965
Ganglion	0	C0017067	0	1945
Ganglion	0	C1258666	0	1946
posterior pituitary	0	C0032009	0	1946
posterior pituitary	0	C0032017	0	1947
ALS	1	C0002736	0	1946
ALS	1	C0003372	1	1968
Compliance	1	C1321605	0	1952
Compliance	1	C0009563	1	1958
MHC	1	C0024518	0	1975
MHC	1	C0027100	1	1986
Polymyalgia Rheumatica	1	C0039483	0	1946
Polymyalgia Rheumatica	1	C0032533	1	1955
BPD	1	C0006012	0	1956
BPD	1	C0006287	1	1981
Potassium	0	C0032821	0	1945
Potassium	0	C0162800	0	1948
SLS	1	C0037506	0	1945
SLS	1	C0037231	1	1960
CPDD	1	C0553730	0	1960
CPDD	1	C0008838	1	1972
THYMUS	0	C0040113	0	1945
THYMUS	0	C1015036	0	1945
THYMUS	0	C0040112	0	1949
Malaria	0	C0024530	0	1945
Malaria	0	C0206255	0	1945
Cell	1	C0007634	0	1945
Cell	1	C1136359	1	1999
ANA	1	C0002463	0	1950
ANA	1	C0003243	1	1959
ORI	1	C0242961	0	1983
ORI	1	C0206601	1	1993
cRNA	1	C1321571	0	1947
cRNA	1	C0056208	1	1955
Parotitis	0	C0026780	0	1945
Parotitis	0	C0030583	0	1945
Root	0	C0040452	0	1945
Root	0	C0242726	0	1945
PAF	0	C0032172	0	1979
PAF	0	C0037019	0	1980
Sterilization	0	C0038280	0	1945
Sterilization	0	C0038288	0	1945
FA	0	C0016410	0	1945
FA	0	C0015625	0	1946
CAD	1	C1956346	0	1945
CAD	1	C0011905	1	1970
BSE	1	C0085105	0	1952
BSE	1	C0085209	1	1991
Coffee	0	C0009237	0	1946
Coffee	0	C0085952	0	1947
SPR	1	C0164209	0	1981
SPR	1	C0597731	1	1998
WBS	1	C0004903	0	1981
WBS	1	C0175702	1	1995
Cortex	1	C0007776	0	1945
Cortex	1	C0001614	1	1950
TMP	1	C0040079	0	1954
TMP	1	C0041041	1	1964
veterinary	1	C0042615	0	1945
veterinary	1	C0206212	1	1963
TAT	1	C0039756	0	1945
TAT	1	C0039341	1	1985
TAT	1	C0017375	1	1989
Glycoside	0	C0007158	0	1945
Glycoside	0	C0017977	0	1946
DAT	1	C0002395	0	1946
DAT	1	C0114838	1	1989
CLS	1	C0343084	0	1996
CLS	1	C0265252	1	2002
RB	1	C0035335	0	1946
RB	1	C0035930	1	1951
DE	0	C0011198	0	1945
DE	0	C0017480	0	1945
Erythrocytes	0	C0014772	0	1945
Erythrocytes	0	C0014792	0	1945
Adrenal	0	C0001625	0	1945
Adrenal	0	C0014563	0	1945
Heregulin	0	C0752253	0	1992
Heregulin	0	C0626201	0	1994
Ca	0	C0006675	0	1945
Ca	0	C0006754	0	1945
Ca	0	C0006823	0	1945
DBA	0	C0025923	0	1947
DBA	0	C1260899	0	1947
