PCP(2)(1972TO2018)	C0030855(1972)	C0031381(1972)	
C0012240(1945)	0	0	
Medullary(2)(1946TO2018)	C0001629(1946)	C0025148(1947)	
C0001629(1946)	0	1	
C0025148(1947)	1	0	
MAF(2)(1980TO2018)	C0079786(1980)	C0919482(1998)	
C0079786(1980)	0	18	
C0919482(1998)	18	0	
MRS(2)(1950TO2018)	C0025235(1950)	C0024487(1961)	
C0025235(1950)	0	11	
C0024487(1961)	11	0	
CI(2)(1949TO2018)	C0008107(1949)	C0022326(1951)	
C0008107(1949)	0	2	
C0022326(1951)	2	0	
Ice(3)(1946TO2018)	C0020746(1946)	C0025611(1946)	C0534519(1991)	
C0020746(1946)	0	0	45	
C0025611(1946)	0	0	45	
C0534519(1991)	45	45	0	
DDD(2)(1962TO2018)	C0011037(1962)	C0026256(1963)	
C0011037(1962)	0	1	
C0026256(1963)	1	0	
Cement(2)(1957TO2018)	C0011343(1957)	C1706094(1957)	
C0011343(1957)	0	0	
C1706094(1957)	0	0	
Astragalus(2)(1947TO2018)	C0039277(1947)	C0330845(1947)	
C0039277(1947)	0	0	
C0330845(1947)	0	0	
BAT(2)(1946TO2018)	C0008139(1946)	C0006298(1949)	
C0008139(1946)	0	3	
C0006298(1949)	3	0	
Lupus(3)(1945TO2018)	C0024131(1945)	C0024141(1945)	C0024138(1946)	
C0024131(1945)	0	0	1	
C0024141(1945)	0	0	1	
C0024138(1946)	1	1	0	
Lawsonia(2)(2000TO2018)	C0752045(2000)	C1068388(2002)	
C0752045(2000)	0	2	
C1068388(2002)	2	0	
Fish(2)(1945TO2018)	C0016163(1945)	C0162789(1953)	
C0016163(1945)	0	8	
C0162789(1953)	8	0	
RSV(2)(1955TO2018)	C0086943(1955)	C0035236(1960)	
C0086943(1955)	0	5	
C0035236(1960)	5	0	
DDS(3)(1960TO2018)	C0010980(1960)	C0085104(1990)	C0950121(2001)	
C0010980(1960)	0	30	41	
C0085104(1990)	30	0	11	
C0950121(2001)	41	11	0	
HGF(2)(1984TO2018)	C0021760(1984)	C0062534(1984)	
C0021760(1984)	0	0	
C0062534(1984)	0	0	
drinking(2)(1946TO2018)	C0001948(1946)	C0684271(1946)	
C0001948(1946)	0	0	
C0684271(1946)	0	0	
JP(2)(1946TO2018)	C0022341(1946)	C0031106(1947)	
C0022341(1946)	0	1	
C0031106(1947)	1	0	
Iris(2)(1945TO2018)	C0022077(1945)	C1001362(1946)	
C0022077(1945)	0	1	
C1001362(1946)	1	0	
Pleuropneumonia(2)(1945TO2018)	C0026934(1945)	C0032241(1945)	
C0026934(1945)	0	0	
C0032241(1945)	0	0	
TMJ(2)(1946TO2018)	C0039493(1946)	C0039496(1946)	
C0039493(1946)	0	0	
C0039496(1946)	0	0	
TYR(2)(1945TO2018)	C0041484(1945)	C0041485(1945)	
C0041484(1945)	0	0	
C0041485(1945)	0	0	
NM(2)(1946TO2018)	C0025033(1946)	C0027972(1946)	
C0025033(1946)	0	0	
C0027972(1946)	0	0	
Projection(2)(1970TO2018)	C0016538(1970)	C0033363(1970)	
C0016538(1970)	0	0	
C0033363(1970)	0	0	
NBS(2)(1947TO2018)	C0027819(1947)	C0398791(2002)	
C0027819(1947)	0	55	
C0398791(2002)	55	0	
TPO(2)(1974TO2018)	C0040052(1974)	C0021965(1975)	
C0040052(1974)	0	1	
C0021965(1975)	1	0	
SARS-associated coronavirus(2)(2002TO2018)	C1175175(2002)	C1175743(2002)	
C1175175(2002)	0	0	
C1175743(2002)	0	0	
B-Cell Leukemia(2)(1986TO2018)	C0023434(1986)	C2004493(1988)	
C0023434(1986)	0	2	
C2004493(1988)	2	0	
PR(2)(1945TO2018)	C0034044(1945)	C0034833(1973)	
C0034044(1945)	0	28	
C0034833(1973)	28	0	
EGG(2)(1945TO2018)	C0013710(1945)	C0029974(1945)	
C0013710(1945)	0	0	
C0029974(1945)	0	0	
eCG(2)(1945TO2018)	C0018064(1945)	C1623258(1945)	
C0018064(1945)	0	0	
C1623258(1945)	0	0	
MBP(2)(1973TO2018)	C0014063(1973)	C0065661(1984)	
C0014063(1973)	0	11	
C0065661(1984)	11	0	
US(2)(1945TO2018)	C0041618(1945)	C0041703(1945)	
C0041618(1945)	0	0	
C0041703(1945)	0	0	
FTC(2)(1982TO2018)	C0041713(1982)	C0206682(1993)	
C0041713(1982)	0	11	
C0206682(1993)	11	0	
ERP(2)(1956TO2018)	C0015214(1956)	C0008310(1978)	
C0015214(1956)	0	22	
C0008310(1978)	22	0	
Plaque(2)(1950TO2018)	C0011389(1950)	C0333463(1950)	
C0011389(1950)	0	0	
C0333463(1950)	0	0	
Phosphorylase(2)(1971TO2018)	C0017916(1971)	C0917783(1973)	
C0017916(1971)	0	2	
C0917783(1973)	2	0	
Ion(2)(1945TO2018)	C0022023(1945)	C0022024(1946)	
C0022023(1945)	0	1	
C0022024(1946)	1	0	
Hemlock(2)(2002TO2018)	C0242872(2002)	C0949851(2002)	
C0242872(2002)	0	0	
C0949851(2002)	0	0	
Hip(2)(1946TO2018)	C0019552(1946)	C0022122(1947)	
C0019552(1946)	0	1	
C0022122(1947)	1	0	
TLC(2)(1959TO2018)	C0008569(1959)	C0040509(1959)	
C0008569(1959)	0	0	
C0040509(1959)	0	0	
Wasp(2)(1975TO2018)	C0043041(1975)	C0258432(1994)	
C0043041(1975)	0	19	
C0258432(1994)	19	0	
Milk(2)(1945TO2018)	C0026131(1945)	C0026140(1945)	
C0026131(1945)	0	0	
C0026140(1945)	0	0	
RBC(2)(1945TO2018)	C0014772(1945)	C0014792(1945)	
C0014772(1945)	0	0	
C0014792(1945)	0	0	
Ventricles(2)(1945TO2018)	C0007799(1945)	C0018827(1945)	
C0007799(1945)	0	0	
C0018827(1945)	0	0	
INDO(2)(1949TO2018)	C0021247(1949)	C0021246(1963)	
C0021247(1949)	0	14	
C0021246(1963)	14	0	
ADH(2)(1975TO2018)	C0003779(1975)	C0001942(1976)	
C0003779(1975)	0	1	
C0001942(1976)	1	0	
Nursing(2)(1945TO2018)	C0006147(1945)	C0028677(1945)	
C0006147(1945)	0	0	
C0028677(1945)	0	0	
Ala(3)(1947TO2018)	C0001898(1947)	C0051405(1947)	C0002563(1953)	
C0001898(1947)	0	0	6	
C0051405(1947)	0	0	6	
C0002563(1953)	6	6	0	
PCD(2)(1971TO2018)	C0022521(1971)	C0162638(1991)	
C0022521(1971)	0	20	
C0162638(1991)	20	0	
Ganglion(2)(1946TO2018)	C0017067(1946)	C1258666(1946)	
C0017067(1946)	0	0	
C1258666(1946)	0	0	
posterior pituitary(2)(1946TO2018)	C0032009(1946)	C0032017(1947)	
C0032009(1946)	0	1	
C0032017(1947)	1	0	
ALS(2)(1948TO2018)	C0002736(1948)	C0003372(1968)	
C0002736(1948)	0	20	
C0003372(1968)	20	0	
Compliance(2)(1974TO2018)	C0009563(1974)	C1321605(1974)	
C0009563(1974)	0	0	
C1321605(1974)	0	0	
MHC(2)(1978TO2018)	C0024518(1978)	C0027100(1986)	
C0024518(1978)	0	8	
C0027100(1986)	8	0	
BPD(2)(1980TO2018)	C0006012(1980)	C0006287(1981)	
C0006012(1980)	0	1	
C0006287(1981)	1	0	
Potassium(2)(1945TO2018)	C0032821(1945)	C0162800(1948)	
C0032821(1945)	0	3	
C0162800(1948)	3	0	
SLS(2)(1971TO2018)	C0037506(1971)	C0037231(1991)	
C0037506(1971)	0	20	
C0037231(1991)	20	0	
CPDD(2)(1971TO2018)	C0553730(1971)	C0008838(1972)	
C0553730(1971)	0	1	
C0008838(1972)	1	0	
THYMUS(3)(1946TO2018)	C0040113(1946)	C1015036(1946)	C0040112(1949)	
C0040113(1946)	0	0	3	
C1015036(1946)	0	0	3	
C0040112(1949)	3	3	0	
Malaria(2)(1945TO2018)	C0024530(1945)	C0206255(1945)	
C0024530(1945)	0	0	
C0206255(1945)	0	0	
Cell(2)(1969TO2018)	C0007634(1969)	C1136359(1999)	
C0007634(1969)	0	30	
C1136359(1999)	30	0	
ANA(2)(1962TO2018)	C0003243(1962)	C0002463(1963)	
C0003243(1962)	0	1	
C0002463(1963)	1	0	
ORI(2)(1993TO2018)	C0206601(1993)	C0242961(1993)	
C0206601(1993)	0	0	
C0242961(1993)	0	0	
cRNA(2)(1975TO2018)	C1321571(1975)	C0056208(1982)	
C1321571(1975)	0	7	
C0056208(1982)	7	0	
Parotitis(2)(1945TO2018)	C0026780(1945)	C0030583(1945)	
C0026780(1945)	0	0	
C0030583(1945)	0	0	
Root(2)(1945TO2018)	C0040452(1945)	C0242726(1945)	
C0040452(1945)	0	0	
C0242726(1945)	0	0	
PAF(2)(1979TO2018)	C0032172(1979)	C0037019(1980)	
C0032172(1979)	0	1	
C0037019(1980)	1	0	
Sterilization(2)(1945TO2018)	C0038280(1945)	C0038288(1945)	
C0038280(1945)	0	0	
C0038288(1945)	0	0	
FA(2)(1945TO2018)	C0016410(1945)	C0015625(1946)	
C0016410(1945)	0	1	
C0015625(1946)	1	0	
CAD(2)(1983TO2018)	C0011905(1983)	C1956346(1985)	
C0011905(1983)	0	2	
C1956346(1985)	2	0	
BSE(2)(1991TO2018)	C0085105(1991)	C0085209(1991)	
C0085105(1991)	0	0	
C0085209(1991)	0	0	
Coffee(2)(1960TO2018)	C0009237(1960)	C0085952(1962)	
C0009237(1960)	0	2	
C0085952(1962)	2	0	
SPR(2)(1981TO2018)	C0164209(1981)	C0597731(1998)	
C0164209(1981)	0	17	
C0597731(1998)	17	0	
WBS(2)(1982TO2018)	C0004903(1982)	C0175702(1995)	
C0004903(1982)	0	13	
C0175702(1995)	13	0	
Cortex(2)(1945TO2018)	C0007776(1945)	C0001614(1950)	
C0007776(1945)	0	5	
C0001614(1950)	5	0	
TMP(2)(1970TO2018)	C0041041(1970)	C0040079(1975)	
C0041041(1970)	0	5	
C0040079(1975)	5	0	
veterinary(2)(1945TO2018)	C0042615(1945)	C0206212(1963)	
C0042615(1945)	0	18	
C0206212(1963)	18	0	
TAT(3)(1975TO2018)	C0039756(1975)	C0039341(1985)	C0017375(1989)	
C0039756(1975)	0	10	14	
C0039341(1985)	10	0	4	
C0017375(1989)	14	4	0	
Glycoside(2)(1946TO2018)	C0007158(1946)	C0017977(1946)	
C0007158(1946)	0	0	
C0017977(1946)	0	0	
DAT(2)(1974TO2018)	C0002395(1974)	C0114838(1989)	
C0002395(1974)	0	15	
C0114838(1989)	15	0	
CLS(2)(1996TO2018)	C0343084(1996)	C0265252(2002)	
C0343084(1996)	0	6	
C0265252(2002)	6	0	
RB(2)(1947TO2018)	C0035335(1947)	C0035930(1951)	
C0035335(1947)	0	4	
C0035930(1951)	4	0	
DE(2)(1945TO2018)	C0011198(1945)	C0017480(1945)	
C0011198(1945)	0	0	
C0017480(1945)	0	0	
Erythrocytes(2)(1945TO2018)	C0014772(1945)	C0014792(1945)	
C0014772(1945)	0	0	
C0014792(1945)	0	0	
Adrenal(2)(1945TO2018)	C0001625(1945)	C0014563(1945)	
C0001625(1945)	0	0	
C0014563(1945)	0	0	
Heregulin(2)(1992TO2018)	C0752253(1992)	C0626201(1994)	
C0752253(1992)	0	2	
C0626201(1994)	2	0	
Ca(3)(1945TO2018)	C0006675(1945)	C0006754(1945)	C0006823(1945)	
C0006675(1945)	0	0	0	
C0006754(1945)	0	0	0	
C0006823(1945)	0	0	0	
DBA(2)(1972TO2018)	C0025923(1972)	C1260899(2001)	
C0025923(1972)	0	29	
C1260899(2001)	29	0	
