target	CUI	MAE
Eels	C0013671	0.000000
Eels	C0677644	0.776119
Eels	ALL	0.388060
Epi	C0014563	0.000000
Epi	C0014582	0.000000
Epi	ALL	0.000000
Erythrocytes	C0014792	0.000000
Erythrocytes	C0014772	0.000000
Erythrocytes	ALL	0.000000
Exercises	C0015259	0.000000
Exercises	C0452240	1.000000
Exercises	ALL	0.500000
FA	C0016410	0.000000
FA	C0015625	1.000000
FA	ALL	0.500000
FTC	C0206682	1.000000
FTC	C0041713	0.000000
FTC	ALL	0.500000
Fe	C0376520	1.000000
Fe	C0302583	0.000000
Fe	ALL	0.500000
Fish	C0016163	0.000000
Fish	C0162789	1.000000
Fish	ALL	0.500000
Follicle	C0018120	0.000000
Follicle	C0221971	0.000000
Follicle	ALL	0.000000
Follicles	C0018120	0.000000
Follicles	C0221971	0.000000
Follicles	ALL	0.000000
GAG	C0017973	0.000000
GAG	C0017346	0.565217
GAG	ALL	0.282608
Ganglion	C1258666	1.000000
Ganglion	C0017067	0.000000
Ganglion	ALL	0.500000
Gas	C0017110	0.000000
Gas	C0016204	1.000000
Gas	ALL	0.500000
Glycoside	C0007158	0.000000
Glycoside	C0017977	1.000000
Glycoside	ALL	0.500000
HCl	C0023443	1.000000
HCl	C0020259	0.000000
HCl	ALL	0.500000
HGF	C0062534	0.000000
HGF	C0021760	1.000000
HGF	ALL	0.500000
HIV	C0019693	1.000000
HIV	C0019682	0.000000
HIV	ALL	0.500000
HPS	C0079504	0.000000
HPS	C0242994	0.000000
HPS	ALL	0.000000
HR	C0018810	0.000000
HR	C0010343	0.000000
HR	ALL	0.000000
Haemophilus ducreyi	C0007947	0.000000
Haemophilus ducreyi	C0018481	0.000000
Haemophilus ducreyi	ALL	0.000000
Hemlock	C0949851	0.000000
Hemlock	C0242872	1.000000
Hemlock	ALL	0.500000
Heregulin	C0626201	1.000000
Heregulin	C0752253	0.000000
Heregulin	ALL	0.500000
Hip	C0019552	0.000000
Hip	C0022122	0.000000
Hip	ALL	0.000000
IA	C0021487	1.000000
IA	C0022037	1.000000
IA	ALL	1.000000
INDO	C0021247	0.000000
INDO	C0021246	0.173913
INDO	ALL	0.086957
IP	C0021171	0.000000
IP	C0021069	1.000000
IP	ALL	0.500000
Ice	C0025611	0.000000
Ice	C0534519	0.611111
Ice	C0020746	0.000000
Ice	ALL	0.203704
Ion	C0022024	1.000000
Ion	C0022023	1.000000
Ion	ALL	1.000000
Iris	C0022077	0.000000
Iris	C1001362	0.000000
Iris	ALL	0.000000
JP	C0022341	0.000000
JP	C0031106	1.000000
JP	ALL	0.500000
LABOR	C0043227	0.000000
LABOR	C0022864	1.000000
LABOR	ALL	0.500000
Lactation	C0006147	0.000000
Lactation	C0022925	0.000000
Lactation	ALL	0.000000
Language	C0023008	0.000000
Language	C0033348	1.000000
Language	ALL	0.500000
Laryngeal	C0023078	0.000000
Laryngeal	C0023081	1.000000
Laryngeal	ALL	0.500000
Lawsonia	C0752045	0.000000
Lawsonia	C1068388	0.000000
Lawsonia	ALL	0.000000
Leishmaniasis	C1548483	1.000000
Leishmaniasis	C0023281	0.000000
Leishmaniasis	ALL	0.500000
Lupus	C0024141	0.000000
Lupus	C0024131	1.000000
Lupus	C0024138	1.000000
Lupus	ALL	0.666667
MAF	C0919482	1.000000
MAF	C0079786	0.000000
MAF	ALL	0.500000
MBP	C0014063	0.000000
MBP	C0065661	1.000000
MBP	ALL	0.500000
MCC	C0162804	1.000000
MCC	C0007129	0.000000
MCC	ALL	0.500000
MHC	C0027100	0.000000
MHC	C0024518	0.000000
MHC	ALL	0.000000
MRS	C0025235	0.000000
MRS	C0024487	0.000000
MRS	ALL	0.000000
Malaria	C0024530	0.000000
Malaria	C0206255	1.000000
Malaria	ALL	0.500000
Medullary	C0025148	0.000000
Medullary	C0001629	1.000000
Medullary	ALL	0.500000
Milk	C0026140	0.000000
Milk	C0026131	0.000000
Milk	ALL	0.000000
Moles	C0324740	0.000000
Moles	C0027960	1.000000
Moles	ALL	0.500000
NBS	C0398791	1.000000
NBS	C0027819	1.000000
NBS	ALL	1.000000
NEUROFIBROMATOSIS	C0162678	1.000000
NEUROFIBROMATOSIS	C0085113	0.000000
NEUROFIBROMATOSIS	ALL	0.500000
NM	C0025033	0.000000
NM	C0027972	1.000000
NM	ALL	0.500000
NPC	C0028587	0.000000
NPC	C0220756	1.000000
NPC	ALL	0.500000
Nurse	C0006147	0.000000
Nurse	C0028661	0.000000
Nurse	ALL	0.000000
Nursing	C0006147	0.000000
Nursing	C0028677	0.000000
Nursing	ALL	0.000000
OCD	C0029421	1.000000
OCD	C0028768	0.000000
OCD	ALL	0.500000
OH	C0063146	0.000000
OH	C0028905	0.000000
OH	ALL	0.000000
ORI	C0206601	0.000000
ORI	C0242961	0.000000
ORI	ALL	0.000000
Orf	C0079941	1.000000
Orf	C0013570	0.000000
Orf	ALL	0.500000
PAC	C0949780	0.000000
PAC	C0033036	0.000000
PAC	ALL	0.000000
PAF	C0037019	0.000000
PAF	C0032172	0.000000
PAF	ALL	0.000000
PCA	C0149576	0.475410
PCA	C0030625	0.000000
PCA	C0429865	1.000000
PCA	C0078944	1.000000
PCA	C0030131	0.245902
PCA	ALL	0.544262
PCB	C0033223	0.000000
PCB	C0032447	0.000000
PCB	ALL	0.000000
PCD	C0022521	0.000000
PCD	C0162638	0.000000
PCD	ALL	0.000000
PCP	C0030855	0.000000
PCP	C0031381	0.000000
PCP	ALL	0.000000
PEP	C0031642	0.000000
PEP	C0135981	1.000000
PEP	ALL	0.500000
PHA	C0031858	0.000000
PHA	C0030779	1.000000
PHA	ALL	0.500000
POL	C0032356	0.000000
POL	C0017360	1.000000
POL	ALL	0.500000
PR	C0034044	0.000000
PR	C0034833	1.000000
PR	ALL	0.500000
PVC	C0151636	0.000000
PVC	C0032624	0.000000
PVC	ALL	0.000000
Parotitis	C0026780	0.000000
Parotitis	C0030583	0.000000
Parotitis	ALL	0.000000
Pharmaceutical	C0013058	1.000000
Pharmaceutical	C0031336	0.000000
Pharmaceutical	ALL	0.500000
Phosphorus	C0031705	0.000000
Phosphorus	C0080014	0.000000
Phosphorus	ALL	0.000000
Phosphorylase	C0917783	1.000000
Phosphorylase	C0017916	1.000000
Phosphorylase	ALL	1.000000
Plague	C0032066	1.000000
Plague	C0032064	0.000000
Plague	ALL	0.500000
Plaque	C0011389	0.000000
Plaque	C0333463	0.000000
Plaque	ALL	0.000000
Platelet	C0005821	0.000000
Platelet	C0032181	1.000000
Platelet	ALL	0.500000
Pleuropneumonia	C0032241	0.000000
Pleuropneumonia	C0026934	1.000000
Pleuropneumonia	ALL	0.500000
Potassium	C0032821	0.000000
Potassium	C0162800	1.000000
Potassium	ALL	0.500000
Projection	C0033363	1.000000
Projection	C0016538	0.000000
Projection	ALL	0.500000
RA	C0002893	1.000000
RA	C0034625	0.000000
RA	C0003873	0.000000
RA	ALL	0.333333
RB	C0035930	0.000000
RB	C0035335	1.000000
RB	ALL	0.500000
RBC	C0014792	0.000000
RBC	C0014772	0.000000
RBC	ALL	0.000000
RSV	C0035236	0.000000
RSV	C0086943	0.000000
RSV	ALL	0.000000
Radiation	C1522449	0.000000
Radiation	C0851346	0.000000
Radiation	ALL	0.000000
Respiration	C0035203	0.000000
Respiration	C0282636	0.000000
Respiration	ALL	0.000000
Retinal	C0035331	0.000000
Retinal	C0035298	0.000000
Retinal	ALL	0.000000
Root	C0242726	0.000000
Root	C0040452	0.000000
Root	ALL	0.000000
SARS	C1175743	1.000000
SARS	C1175175	0.000000
SARS	ALL	0.500000
SARS-associated coronavirus	C1175743	1.000000
SARS-associated coronavirus	C1175175	0.000000
SARS-associated coronavirus	ALL	0.500000
SCD	C0085298	1.000000
SCD	C0002895	0.000000
SCD	ALL	0.500000
SLS	C0037231	1.000000
SLS	C0037506	0.000000
SLS	ALL	0.500000
SPR	C0597731	1.000000
SPR	C0164209	1.000000
SPR	ALL	1.000000
SS	C0085077	0.600000
SS	C0039101	0.000000
SS	ALL	0.300000
STEM	C0162731	0.000000
STEM	C0242767	0.000000
STEM	ALL	0.000000
Schistosoma mansoni	C0036330	0.000000
Schistosoma mansoni	C0036319	0.000000
Schistosoma mansoni	ALL	0.000000
Sodium	C0037473	0.000000
Sodium	C0037570	0.000000
Sodium	ALL	0.000000
Staph	C0038170	0.000000
Staph	C0038160	0.000000
Staph	ALL	0.000000
Sterilization	C0038288	0.000000
Sterilization	C0038280	0.000000
Sterilization	ALL	0.000000
Strep	C0038395	0.000000
Strep	C0038402	1.000000
Strep	ALL	0.500000
Synapsis	C0598501	1.000000
Synapsis	C0039062	0.000000
Synapsis	ALL	0.500000
TAT	C0039341	1.000000
TAT	C0017375	1.000000
TAT	C0039756	0.000000
TAT	ALL	0.666667
TEM	C0678118	0.000000
TEM	C0040975	1.000000
TEM	ALL	0.500000
THYMUS	C1015036	0.000000
THYMUS	C0040113	0.000000
THYMUS	C0040112	1.000000
THYMUS	ALL	0.333333
TLC	C0008569	0.000000
TLC	C0040509	0.254237
TLC	ALL	0.127118
TMJ	C0039493	0.000000
TMJ	C0039496	0.000000
TMJ	ALL	0.000000
TMP	C0040079	0.000000
TMP	C0041041	0.000000
TMP	ALL	0.000000
TNC	C0077400	0.000000
TNC	C0076088	0.078947
TNC	ALL	0.039474
TNT	C0077404	0.000000
TNT	C0041070	0.000000
TNT	ALL	0.000000
TPA	C0039654	0.000000
TPA	C0032143	1.000000
TPA	ALL	0.500000
TPO	C0021965	1.000000
TPO	C0040052	0.000000
TPO	ALL	0.500000
TRF	C0021759	0.000000
TRF	C0040162	0.000000
TRF	ALL	0.000000
TSF	C0021756	0.045455
TSF	C0040052	0.000000
TSF	ALL	0.022728
TYR	C0041484	0.000000
TYR	C0041485	1.000000
TYR	ALL	0.500000
Tax	C0144576	1.000000
Tax	C0039371	0.000000
Tax	ALL	0.500000
Tolerance	C0020963	0.000000
Tolerance	C0013220	1.000000
Tolerance	ALL	0.500000
Torula	C0010415	0.000000
Torula	C0010414	1.000000
Torula	ALL	0.500000
US	C0041618	1.000000
US	C0041703	0.000000
US	ALL	0.500000
Ventricles	C0018827	0.000000
Ventricles	C0007799	0.000000
Ventricles	ALL	0.000000
WBS	C0175702	1.000000
WBS	C0004903	0.000000
WBS	ALL	0.500000
WT1	C0148873	1.000000
WT1	C0027708	0.000000
WT1	ALL	0.500000
Wasp	C0043041	0.000000
Wasp	C0258432	0.418605
Wasp	ALL	0.209303
Yellow Fever	C0301508	0.000000
Yellow Fever	C0043395	1.000000
Yellow Fever	ALL	0.500000
cRNA	C0056208	1.000000
cRNA	C1321571	1.000000
cRNA	ALL	1.000000
dC	C0011485	1.000000
dC	C0012764	0.000000
dC	ALL	0.500000
drinking	C0684271	1.000000
drinking	C0001948	0.000000
drinking	ALL	0.500000
eCG	C0018064	0.602740
eCG	C1623258	0.000000
eCG	ALL	0.301370
lens	C0023317	0.000000
lens	C0023318	0.000000
lens	C0023308	1.000000
lens	ALL	0.333333
lymphogranulomatosis	C0036202	0.000000
lymphogranulomatosis	C0019829	1.000000
lymphogranulomatosis	ALL	0.500000
pI	C0022171	0.000000
pI	C0812425	0.000000
pI	ALL	0.000000
posterior pituitary	C0032017	0.000000
posterior pituitary	C0032009	1.000000
posterior pituitary	ALL	0.500000
rDNA	C0012933	1.000000
rDNA	C0012931	0.000000
rDNA	ALL	0.500000
tomography	C0040395	1.000000
tomography	C0040405	0.000000
tomography	ALL	0.500000
veterinary	C0042615	0.000000
veterinary	C0206212	0.000000
veterinary	ALL	0.000000
