WSD	WSD_BASELINE_EMERGENCE	Sense	SenseBASELINE_EMERGENCE	Year
Tolerance	0	C0013220	0	1946
Tolerance	0	C0020963	0	1946
WT1	1	C0027708	0	1946
WT1	1	C0148873	1	1991
HHV 8	1	C0036220	0	1953
HHV 8	1	C0376526	1	1996
Arteriovenous Anastomoses	0	C0225984	0	1950
Arteriovenous Anastomoses	0	C0684204	0	1950
AA	0	C0002520	0	1945
AA	0	C0001972	0	1947
Digestive	0	C0012238	0	1945
Digestive	0	C0012240	0	1945
Medullary	0	C0001629	0	1946
Medullary	0	C0025148	0	1947
MAF	1	C0079786	0	1980
MAF	1	C0919482	1	1998
MRS	1	C0025235	0	1950
MRS	1	C0024487	1	1961
CI	0	C0008107	0	1949
CI	0	C0022326	0	1951
Ice	1	C0020746	0	1946
Ice	1	C0025611	0	1946
Ice	1	C0534519	1	1991
DDD	0	C0011037	0	1962
DDD	0	C0026256	0	1963
Cement	0	C0011343	0	1957
Cement	0	C1706094	0	1957
Astragalus	0	C0039277	0	1947
Astragalus	0	C0330845	0	1947
BAT	0	C0008139	0	1946
BAT	0	C0006298	0	1949
Lupus	0	C0024131	0	1945
Lupus	0	C0024141	0	1945
Lupus	0	C0024138	0	1946
Lawsonia	0	C0752045	0	2000
Lawsonia	0	C1068388	0	2002
Fish	1	C0016163	0	1945
Fish	1	C0162789	1	1953
RSV	1	C0086943	0	1955
RSV	1	C0035236	1	1960
DDS	1	C0010980	0	1960
DDS	1	C0085104	1	1990
DDS	1	C0950121	1	2001
HGF	0	C0021760	0	1984
HGF	0	C0062534	0	1984
drinking	0	C0001948	0	1946
drinking	0	C0684271	0	1946
JP	0	C0022341	0	1946
JP	0	C0031106	0	1947
Iris	0	C0022077	0	1945
Iris	0	C1001362	0	1946
Pleuropneumonia	0	C0026934	0	1945
Pleuropneumonia	0	C0032241	0	1945
TMJ	0	C0039493	0	1946
TMJ	0	C0039496	0	1946
TYR	0	C0041484	0	1945
TYR	0	C0041485	0	1945
NM	0	C0025033	0	1946
NM	0	C0027972	0	1946
Projection	0	C0016538	0	1970
Projection	0	C0033363	0	1970
NBS	1	C0027819	0	1947
NBS	1	C0398791	1	2002
TPO	0	C0040052	0	1974
TPO	0	C0021965	0	1975
SARS-associated coronavirus	0	C1175175	0	2002
SARS-associated coronavirus	0	C1175743	0	2002
B-Cell Leukemia	0	C0023434	0	1986
B-Cell Leukemia	0	C2004493	0	1988
PR	1	C0034044	0	1945
PR	1	C0034833	1	1973
EGG	0	C0013710	0	1945
EGG	0	C0029974	0	1945
eCG	0	C0018064	0	1945
eCG	0	C1623258	0	1945
MBP	1	C0014063	0	1973
MBP	1	C0065661	1	1984
US	0	C0041618	0	1945
US	0	C0041703	0	1945
FTC	1	C0041713	0	1982
FTC	1	C0206682	1	1993
ERP	1	C0015214	0	1956
ERP	1	C0008310	1	1978
Plaque	0	C0011389	0	1950
Plaque	0	C0333463	0	1950
Phosphorylase	0	C0017916	0	1971
Phosphorylase	0	C0917783	0	1973
Ion	0	C0022023	0	1945
Ion	0	C0022024	0	1946
Hemlock	0	C0242872	0	2002
Hemlock	0	C0949851	0	2002
Hip	0	C0019552	0	1946
Hip	0	C0022122	0	1947
TLC	0	C0008569	0	1959
TLC	0	C0040509	0	1959
Wasp	1	C0043041	0	1975
Wasp	1	C0258432	1	1994
Milk	0	C0026131	0	1945
Milk	0	C0026140	0	1945
RBC	0	C0014772	0	1945
RBC	0	C0014792	0	1945
Ventricles	0	C0007799	0	1945
Ventricles	0	C0018827	0	1945
INDO	1	C0021247	0	1949
INDO	1	C0021246	1	1963
ADH	0	C0003779	0	1975
ADH	0	C0001942	0	1976
Nursing	0	C0006147	0	1945
Nursing	0	C0028677	0	1945
Ala	1	C0001898	0	1947
Ala	1	C0051405	0	1947
Ala	1	C0002563	1	1953
PCD	1	C0022521	0	1971
PCD	1	C0162638	1	1991
Ganglion	0	C0017067	0	1946
Ganglion	0	C1258666	0	1946
posterior pituitary	0	C0032009	0	1946
posterior pituitary	0	C0032017	0	1947
ALS	1	C0002736	0	1948
ALS	1	C0003372	1	1968
Compliance	0	C0009563	0	1974
Compliance	0	C1321605	0	1974
MHC	1	C0024518	0	1978
MHC	1	C0027100	1	1986
Polymyalgia Rheumatica	0	C0032533	0	1957
Polymyalgia Rheumatica	0	C0039483	0	1957
BPD	0	C0006012	0	1980
BPD	0	C0006287	0	1981
Potassium	0	C0032821	0	1945
Potassium	0	C0162800	0	1948
SLS	1	C0037506	0	1971
SLS	1	C0037231	1	1991
CPDD	0	C0553730	0	1971
CPDD	0	C0008838	0	1972
THYMUS	0	C0040113	0	1946
THYMUS	0	C1015036	0	1946
THYMUS	0	C0040112	0	1949
Malaria	0	C0024530	0	1945
Malaria	0	C0206255	0	1945
Cell	1	C0007634	0	1969
Cell	1	C1136359	1	1999
ANA	0	C0003243	0	1962
ANA	0	C0002463	0	1963
ORI	0	C0206601	0	1993
ORI	0	C0242961	0	1993
cRNA	1	C1321571	0	1975
cRNA	1	C0056208	1	1982
Parotitis	0	C0026780	0	1945
Parotitis	0	C0030583	0	1945
Root	0	C0040452	0	1945
Root	0	C0242726	0	1945
PAF	0	C0032172	0	1979
PAF	0	C0037019	0	1980
Sterilization	0	C0038280	0	1945
Sterilization	0	C0038288	0	1945
FA	0	C0016410	0	1945
FA	0	C0015625	0	1946
CAD	0	C0011905	0	1983
CAD	0	C1956346	0	1985
BSE	0	C0085105	0	1991
BSE	0	C0085209	0	1991
Coffee	0	C0009237	0	1960
Coffee	0	C0085952	0	1962
SPR	1	C0164209	0	1981
SPR	1	C0597731	1	1998
WBS	1	C0004903	0	1982
WBS	1	C0175702	1	1995
Cortex	1	C0007776	0	1945
Cortex	1	C0001614	1	1950
TMP	1	C0041041	0	1970
TMP	1	C0040079	1	1975
veterinary	1	C0042615	0	1945
veterinary	1	C0206212	1	1963
TAT	1	C0039756	0	1975
TAT	1	C0039341	1	1985
TAT	1	C0017375	1	1989
Glycoside	0	C0007158	0	1946
Glycoside	0	C0017977	0	1946
DAT	1	C0002395	0	1974
DAT	1	C0114838	1	1989
CLS	1	C0343084	0	1996
CLS	1	C0265252	1	2002
RB	0	C0035335	0	1947
RB	0	C0035930	0	1951
DE	0	C0011198	0	1945
DE	0	C0017480	0	1945
Erythrocytes	0	C0014772	0	1945
Erythrocytes	0	C0014792	0	1945
Adrenal	0	C0001625	0	1945
Adrenal	0	C0014563	0	1945
Heregulin	0	C0752253	0	1992
Heregulin	0	C0626201	0	1994
Ca	0	C0006675	0	1945
Ca	0	C0006754	0	1945
Ca	0	C0006823	0	1945
DBA	1	C0025923	0	1972
DBA	1	C1260899	1	2001
