WSD_INFORMATION	NUM_SENSES	SENSE	FIRST_YEAR_OCCURENCE	VALUE_FIRST_YEAR_OCCURENCE	MaxSenseGivenYear	MaxSenseGivenYearValue
Tolerance	2	C0020963	1945	1	1966	0.726496	
WT1	2	C0027708	1946	9	1946	1.000000	
WT1	2	C0148873	1991	4	2013	0.741810	
HHV 8	2	C0036220	1946	6	1946	1.000000	
HHV 8	2	C0376526	1996	167	2018	0.750182	
Arteriovenous Anastomoses	2	C0225984	1945	1	1949	1.000000	
Arteriovenous Anastomoses	2	C0684204	1945	1	2002	0.928571	
AA	2	C0001972	1947	1	1998	0.020866	
AA	2	C0002520	1945	35	1945	1.000000	
sex factor	2	C0015435	1956	1	1991	1.000000	
sex factor	2	C0036881	1946	1	1946	1.000000	
Murine sarcoma virus	2	C0026399	1984	10	2004	1.000000	
Murine sarcoma virus	2	C0026630	1970	2	1970	1.000000	
Digestive	2	C0012238	1945	4	2019	1.000000	
Digestive	2	C0012240	1945	2	1968	0.645833	
Medullary	2	C0001629	1945	1	1946	1.000000	
Medullary	2	C0025148	1945	2	2018	0.961538	
MAF	2	C0079786	1980	6	1980	1.000000	
MAF	2	C0919482	1998	7	2007	1.000000	
MRS	2	C0024487	1961	1	2017	0.997233	
MRS	2	C0025235	1947	1	1947	1.000000	
CI	2	C0008107	1945	3	1945	1.000000	
CI	2	C0022326	1951	5	1981	0.477064	
Ice	3	C0020746	1945	1	1946	0.909091	
Ice	3	C0025611	1945	1	2019	1.000000	
Ice	3	C0534519	1991	13	1997	0.658984	
DDD	2	C0011037	1946	1	1946	1.000000	
DDD	2	C0026256	1959	1	1988	1.000000	
Cement	2	C0011343	1946	2	1946	1.000000	
Cement	2	C1706094	1947	2	1947	1.000000	
Astragalus	2	C0039277	1946	3	1946	1.000000	
Astragalus	2	C0330845	1947	1	2018	0.517500	
BAT	2	C0006298	1949	2	1985	0.812500	
BAT	2	C0008139	1945	3	1945	1.000000	
Lupus	3	C0024131	1945	6	1945	0.500000	
Lupus	3	C0024138	1946	2	1963	0.212928	
Lupus	3	C0024141	1945	6	2016	0.991311	
Lawsonia	2	C0752045	1999	3	1999	1.000000	
Lawsonia	2	C1068388	2002	3	2016	0.666667	
Fish	2	C0016163	1945	10	1945	1.000000	
Fish	2	C0162789	1953	1	1995	0.626502	
RSV	2	C0035236	1960	1	1966	1.000000	
RSV	2	C0086943	1948	1	1948	1.000000	
DDS	3	C0010980	1946	3	1946	1.000000	
DDS	3	C0085104	1948	1	2018	0.979390	
DDS	3	C0950121	2001	4	2005	0.033970	
HGF	2	C0021760	1983	2	1983	1.000000	
HGF	2	C0062534	1965	1	1965	1.000000	
drinking	2	C0001948	1946	3	2012	0.981452	
drinking	2	C0684271	1946	1	1966	1.000000	
JP	2	C0022341	1945	2	1946	1.000000	
JP	2	C0031106	1945	1	1949	0.636364	
Iris	2	C0022077	1944	1	1944	1.000000	
Iris	2	C1001362	1946	1	1950	0.187500	
Pleuropneumonia	2	C0026934	1945	3	1958	1.000000	
Pleuropneumonia	2	C0032241	1945	3	1945	0.500000	
TMJ	2	C0039493	1946	7	2018	0.967495	
TMJ	2	C0039496	1946	2	1983	0.456311	
TYR	2	C0041484	1945	2	2019	1.000000	
TYR	2	C0041485	1945	2	1966	1.000000	
NM	2	C0025033	1946	17	1950	1.000000	
NM	2	C0027972	1946	1	2017	0.808874	
Projection	2	C0016538	1946	2	2016	0.998679	
Projection	2	C0033363	1946	2	1948	1.000000	
NBS	2	C0027819	1945	1	1945	1.000000	
NBS	2	C0398791	2002	3	2012	0.052885	
TPO	2	C0021965	1954	1	1954	1.000000	
TPO	2	C0040052	1958	3	1966	1.000000	
SARS-associated coronavirus	2	C1175175	1953	1	2002	0.750000	
SARS-associated coronavirus	2	C1175743	1953	1	2014	0.622034	
B-Cell Leukemia	2	C0023434	1946	2	1946	1.000000	
B-Cell Leukemia	2	C2004493	1988	5	1995	0.011567	
PR	2	C0034044	1945	5	1945	1.000000	
PR	2	C0034833	1973	3	1988	0.961175	
EGG	2	C0013710	1945	8	2019	0.888889	
EGG	2	C0029974	1945	2	1974	0.822816	
eCG	2	C0018064	1945	1	1946	0.125000	
eCG	2	C1623258	1945	14	1949	1.000000	
MBP	2	C0014063	1972	3	1972	1.000000	
MBP	2	C0065661	1984	1	2012	0.730364	
US	2	C0041618	1945	1	1988	0.738085	
US	2	C0041703	1945	24	1946	1.000000	
FTC	2	C0041713	1961	1	1979	1.000000	
FTC	2	C0206682	1952	1	1952	1.000000	
ERP	2	C0008310	1978	1	2018	0.627060	
ERP	2	C0015214	1948	1	1948	1.000000	
Plaque	2	C0011389	1946	1	1946	1.000000	
Plaque	2	C0333463	1947	3	1949	1.000000	
Phosphorylase	2	C0017916	1946	2	1968	1.000000	
Phosphorylase	2	C0917783	1946	1	2002	0.850000	
Ion	2	C0022023	1945	6	1945	1.000000	
Ion	2	C0022024	1946	2	1995	0.359327	
Hemlock	2	C0242872	1954	2	1954	1.000000	
Hemlock	2	C0949851	1962	1	1962	1.000000	
Hip	2	C0019552	1945	3	1945	1.000000	
Hip	2	C0022122	1947	2	1965	0.125000	
TLC	2	C0008569	1956	1	1956	1.000000	
TLC	2	C0040509	1954	1	1954	1.000000	
Wasp	2	C0043041	1945	1	1945	1.000000	
Wasp	2	C0258432	1994	2	1999	0.798526	
Milk	2	C0026131	1945	21	1947	0.915385	
Milk	2	C0026140	1945	19	1945	0.475000	
RBC	2	C0014772	1945	2	1945	0.076923	
RBC	2	C0014792	1945	24	2019	1.000000	
Ventricles	2	C0007799	1945	1	1946	0.235294	
Ventricles	2	C0018827	1945	6	2018	0.985309	
INDO	2	C0021246	1963	4	1987	0.977448	
INDO	2	C0021247	1946	1	1946	1.000000	
ADH	2	C0001942	1948	1	1948	1.000000	
ADH	2	C0003779	1954	1	1968	1.000000	
Nursing	2	C0006147	1945	15	2016	0.931479	
Nursing	2	C0028677	1945	13	1966	0.969212	
Ala	3	C0001898	1945	4	1945	1.000000	
Ala	3	C0002563	1953	2	2019	1.000000	
Ala	3	C0051405	1947	1	2017	0.390398	
PCD	2	C0022521	1946	1	1946	1.000000	
PCD	2	C0162638	1965	2	2019	1.000000	
Ganglion	2	C0017067	1945	1	1945	1.000000	
Ganglion	2	C1258666	1946	1	2018	0.604651	
posterior pituitary	2	C0032009	1946	4	1946	1.000000	
posterior pituitary	2	C0032017	1947	1	1967	0.444444	
ALS	2	C0002736	1946	3	1946	1.000000	
ALS	2	C0003372	1968	58	1969	0.850515	
Compliance	2	C0009563	1958	2	1958	1.000000	
Compliance	2	C1321605	1952	1	1952	1.000000	
MHC	2	C0024518	1975	1	1975	1.000000	
MHC	2	C0027100	1986	10	2002	0.522796	
Polymyalgia Rheumatica	2	C0032533	1955	1	1972	0.529412	
Polymyalgia Rheumatica	2	C0039483	1946	2	1946	1.000000	
BPD	2	C0006012	1956	1	1956	1.000000	
BPD	2	C0006287	1981	10	1990	0.679245	
Potassium	2	C0032821	1945	10	1945	1.000000	
Potassium	2	C0162800	1948	1	2018	0.158476	
SLS	2	C0037231	1960	1	1961	0.500000	
SLS	2	C0037506	1945	2	1945	1.000000	
CPDD	2	C0008838	1972	1	2015	0.997267	
CPDD	2	C0553730	1960	2	1960	1.000000	
THYMUS	3	C0040112	1949	1	1955	0.123894	
THYMUS	3	C0040113	1945	2	1966	1.000000	
THYMUS	3	C1015036	1945	1	1958	0.418033	
Malaria	2	C0024530	1945	120	1947	1.000000	
Malaria	2	C0206255	1945	1	1996	0.136999	
Cell	2	C0007634	1945	15	1945	1.000000	
Cell	2	C1136359	1999	6	2003	0.283465	
ANA	2	C0002463	1950	4	1950	1.000000	
ANA	2	C0003243	1959	2	1959	1.000000	
ORI	2	C0206601	1993	31	1993	0.837838	
ORI	2	C0242961	1983	5	1983	1.000000	
cRNA	2	C0056208	1955	1	1962	1.000000	
cRNA	2	C1321571	1947	1	1947	1.000000	
Parotitis	2	C0026780	1945	6	2015	0.939791	
Parotitis	2	C0030583	1945	5	1945	0.454545	
Root	2	C0040452	1945	1	1967	1.000000	
Root	2	C0242726	1945	6	2019	1.000000	
PAF	2	C0032172	1979	6	1979	1.000000	
PAF	2	C0037019	1980	16	1980	0.136752	
Sterilization	2	C0038280	1945	7	1999	0.920732	
Sterilization	2	C0038288	1945	6	1979	0.553922	
FA	2	C0015625	1946	1	1997	0.463508	
FA	2	C0016410	1945	16	1945	1.000000	
CAD	2	C0011905	1970	3	1972	1.000000	
CAD	2	C1956346	1945	3	1945	1.000000	
BSE	2	C0085105	1952	3	1952	1.000000	
BSE	2	C0085209	1991	40	2011	0.884393	
Coffee	2	C0009237	1946	4	1946	1.000000	
Coffee	2	C0085952	1947	1	2019	0.477707	
SPR	2	C0164209	1981	5	1981	1.000000	
SPR	2	C0597731	1998	74	2019	1.000000	
WBS	2	C0004903	1981	2	1981	1.000000	
WBS	2	C0175702	1995	33	2017	0.861055	
Cortex	2	C0001614	1950	1	1952	0.099476	
Cortex	2	C0007776	1945	12	1945	1.000000	
TMP	2	C0040079	1954	1	1954	1.000000	
TMP	2	C0041041	1964	1	1964	1.000000	
veterinary	2	C0042615	1945	25	1945	1.000000	
veterinary	2	C0206212	1963	1	2005	0.202469	
TAT	3	C0017375	1989	15	1992	0.306238	
TAT	3	C0039341	1985	2	2018	1.000000	
TAT	3	C0039756	1945	3	1945	1.000000	
Glycoside	2	C0007158	1945	1	1945	1.000000	
Glycoside	2	C0017977	1946	6	2004	0.972816	
DAT	2	C0002395	1946	1	1946	1.000000	
DAT	2	C0114838	1989	8	2004	0.091768	
CLS	2	C0265252	2002	23	2006	0.818182	
CLS	2	C0343084	1996	23	1996	1.000000	
RB	2	C0035335	1946	2	1946	1.000000	
RB	2	C0035930	1951	9	1971	0.626374	
DE	2	C0011198	1945	1	1974	0.818182	
DE	2	C0017480	1945	7	2019	1.000000	
Erythrocytes	2	C0014772	1945	2	1945	0.076923	
Erythrocytes	2	C0014792	1945	24	2019	1.000000	
Adrenal	2	C0001625	1945	24	1946	0.664671	
Adrenal	2	C0014563	1945	20	1987	0.662557	
Heregulin	2	C0626201	1994	21	2014	0.922105	
Heregulin	2	C0752253	1992	9	1992	1.000000	
Ca	3	C0006675	1945	27	2019	0.974763	
Ca	3	C0006754	1945	9	1948	0.280303	
Ca	3	C0006823	1945	8	1951	0.264264	
DBA	2	C0025923	1947	1	1948	1.000000	
DBA	2	C1260899	1947	1	1959	1.000000	
