WSD	WSD_BASELINE_EMERGENCE	Sense	SenseBASELINE_EMERGENCE	Year
INDO	1	C0021247	0	1946
INDO	1	C0021246	1	1963
ADH	1	C0001942	0	1948
ADH	1	C0003779	1	1954
Ala	1	C0001898	0	1945
Ala	1	C0051405	0	1947
Ala	1	C0002563	1	1953
PCD	1	C0022521	0	1946
PCD	1	C0162638	1	1965
ALS	1	C0002736	0	1946
ALS	1	C0003372	1	1968
Compliance	1	C1321605	0	1952
Compliance	1	C0009563	1	1958
MHC	1	C0024518	0	1975
MHC	1	C0027100	1	1986
Polymyalgia Rheumatica	1	C0039483	0	1946
Polymyalgia Rheumatica	1	C0032533	1	1955
BPD	1	C0006012	0	1956
BPD	1	C0006287	1	1981
SLS	1	C0037506	0	1945
SLS	1	C0037231	1	1960
CPDD	1	C0553730	0	1960
CPDD	1	C0008838	1	1972
Cell	1	C0007634	0	1945
Cell	1	C1136359	1	1999
ANA	1	C0002463	0	1950
ANA	1	C0003243	1	1959
ORI	1	C0242961	0	1983
ORI	1	C0206601	1	1993
cRNA	1	C1321571	0	1947
cRNA	1	C0056208	1	1955
CAD	1	C1956346	0	1945
CAD	1	C0011905	1	1970
BSE	1	C0085105	0	1952
BSE	1	C0085209	1	1991
SPR	1	C0164209	0	1981
SPR	1	C0597731	1	1998
WBS	1	C0004903	0	1981
WBS	1	C0175702	1	1995
Cortex	1	C0007776	0	1945
Cortex	1	C0001614	1	1950
TMP	1	C0040079	0	1954
TMP	1	C0041041	1	1964
veterinary	1	C0042615	0	1945
veterinary	1	C0206212	1	1963
TAT	1	C0039756	0	1945
TAT	1	C0039341	1	1985
TAT	1	C0017375	1	1989
DAT	1	C0002395	0	1946
DAT	1	C0114838	1	1989
CLS	1	C0343084	0	1996
CLS	1	C0265252	1	2002
RB	1	C0035335	0	1946
RB	1	C0035930	1	1951
