PCP(2)(1951TO2018)	C0030855(1951)	C0031381(1959)	
PVC(2)(1946TO2019)	C0151636(1946)	C0032624(1947)	
C0151636(1946)	0	1	
C0032624(1947)	1	0	
lens(3)(1945TO2018)	C0023317(1945)	C0023318(1945)	C0023308(1952)	
C0023317(1945)	0	0	7	
C0023318(1945)	0	0	7	
C0023308(1952)	7	7	0	
Respiration(2)(1945TO2018)	C0035203(1945)	C0282636(1945)	
C0035203(1945)	0	0	
C0282636(1945)	0	0	
tomography(2)(1945TO2018)	C0040405(1945)	C0040395(1947)	
C0040405(1945)	0	2	
C0040395(1947)	2	0	
Cardiac pacemaker(2)(1949TO2018)	C0030163(1949)	C0037189(1949)	
C0030163(1949)	0	0	
C0037189(1949)	0	0	
ADA(2)(1946TO2018)	C0001457(1946)	C0002456(1946)	
C0001457(1946)	0	0	
C0002456(1946)	0	0	
STEM(2)(1945TO2018)	C0242767(1945)	C0162731(1947)	
C0242767(1945)	0	2	
C0162731(1947)	2	0	
MCC(2)(1953TO2018)	C0007129(1953)	C0162804(1991)	
C0007129(1953)	0	38	
C0162804(1991)	38	0	
SS(2)(1945TO2018)	C0039101(1945)	C0085077(1964)	
C0039101(1945)	0	19	
C0085077(1964)	19	0	
CRF(2)(1950TO2018)	C0022661(1950)	C0010132(1956)	
C0022661(1950)	0	6	
C0010132(1956)	6	0	
Tolerance(2)(1945TO2018)	C0013220(1945)	C0020963(1945)	
C0013220(1945)	0	0	
C0020963(1945)	0	0	
WT1(2)(1946TO2018)	C0027708(1946)	C0148873(1991)	
C0027708(1946)	0	45	
C0148873(1991)	45	0	
HHV 8(2)(1946TO2018)	C0036220(1946)	C0376526(1996)	
C0036220(1946)	0	50	
C0376526(1996)	50	0	
Arteriovenous Anastomoses(2)(1945TO2018)	C0225984(1945)	C0684204(1945)	
C0225984(1945)	0	0	
C0684204(1945)	0	0	
AA(2)(1945TO2019)	C0002520(1945)	C0001972(1947)	
C0002520(1945)	0	2	
C0001972(1947)	2	0	
sex factor(2)(1946TO2018)	C0036881(1946)	C0015435(1956)	
C0036881(1946)	0	10	
C0015435(1956)	10	0	
Murine sarcoma virus(2)(1970TO2015)	C0026630(1970)	C0026399(1984)	
C0026630(1970)	0	14	
C0026399(1984)	14	0	
Digestive(2)(1945TO2019)	C0012238(1945)	C0012240(1945)	
C0012238(1945)	0	0	
C0012240(1945)	0	0	
Medullary(2)(1945TO2018)	C0001629(1945)	C0025148(1945)	
C0001629(1945)	0	0	
C0025148(1945)	0	0	
MAF(2)(1980TO2018)	C0079786(1980)	C0919482(1998)	
C0079786(1980)	0	18	
C0919482(1998)	18	0	
MRS(2)(1947TO2018)	C0025235(1947)	C0024487(1961)	
C0025235(1947)	0	14	
C0024487(1961)	14	0	
CI(2)(1945TO2019)	C0008107(1945)	C0022326(1951)	
C0008107(1945)	0	6	
C0022326(1951)	6	0	
Ice(3)(1945TO2019)	C0020746(1945)	C0025611(1945)	C0534519(1991)	
C0020746(1945)	0	0	46	
C0025611(1945)	0	0	46	
C0534519(1991)	46	46	0	
DDD(2)(1946TO2018)	C0011037(1946)	C0026256(1959)	
C0011037(1946)	0	13	
C0026256(1959)	13	0	
Cement(2)(1946TO2018)	C0011343(1946)	C1706094(1947)	
C0011343(1946)	0	1	
C1706094(1947)	1	0	
Astragalus(2)(1946TO2018)	C0039277(1946)	C0330845(1947)	
C0039277(1946)	0	1	
C0330845(1947)	1	0	
BAT(2)(1945TO2018)	C0008139(1945)	C0006298(1949)	
C0008139(1945)	0	4	
C0006298(1949)	4	0	
Lupus(3)(1945TO2018)	C0024131(1945)	C0024141(1945)	C0024138(1946)	
C0024131(1945)	0	0	1	
C0024141(1945)	0	0	1	
C0024138(1946)	1	1	0	
Lawsonia(2)(1999TO2018)	C0752045(1999)	C1068388(2002)	
C0752045(1999)	0	3	
C1068388(2002)	3	0	
Fish(2)(1945TO2019)	C0016163(1945)	C0162789(1953)	
C0016163(1945)	0	8	
C0162789(1953)	8	0	
RSV(2)(1948TO2018)	C0086943(1948)	C0035236(1960)	
C0086943(1948)	0	12	
C0035236(1960)	12	0	
DDS(3)(1946TO2018)	C0010980(1946)	C0085104(1948)	C0950121(2001)	
C0010980(1946)	0	2	55	
C0085104(1948)	2	0	53	
C0950121(2001)	55	53	0	
HGF(2)(1965TO2019)	C0062534(1965)	C0021760(1983)	
C0062534(1965)	0	18	
C0021760(1983)	18	0	
drinking(2)(1946TO2018)	C0001948(1946)	C0684271(1946)	
C0001948(1946)	0	0	
C0684271(1946)	0	0	
JP(2)(1945TO2018)	C0022341(1945)	C0031106(1945)	
C0022341(1945)	0	0	
C0031106(1945)	0	0	
Iris(2)(1944TO2018)	C0022077(1944)	C1001362(1946)	
C0022077(1944)	0	2	
C1001362(1946)	2	0	
Pleuropneumonia(2)(1945TO2018)	C0026934(1945)	C0032241(1945)	
C0026934(1945)	0	0	
C0032241(1945)	0	0	
TMJ(2)(1946TO2018)	C0039493(1946)	C0039496(1946)	
C0039493(1946)	0	0	
C0039496(1946)	0	0	
TYR(2)(1945TO2019)	C0041484(1945)	C0041485(1945)	
C0041484(1945)	0	0	
C0041485(1945)	0	0	
NM(2)(1946TO2018)	C0025033(1946)	C0027972(1946)	
C0025033(1946)	0	0	
C0027972(1946)	0	0	
Projection(2)(1946TO2018)	C0016538(1946)	C0033363(1946)	
C0016538(1946)	0	0	
C0033363(1946)	0	0	
NBS(2)(1945TO2019)	C0027819(1945)	C0398791(2002)	
C0027819(1945)	0	57	
C0398791(2002)	57	0	
TPO(2)(1954TO2018)	C0021965(1954)	C0040052(1958)	
C0021965(1954)	0	4	
C0040052(1958)	4	0	
SARS-associated coronavirus(2)(1953TO2018)	C1175175(1953)	C1175743(1953)	
C1175175(1953)	0	0	
C1175743(1953)	0	0	
B-Cell Leukemia(2)(1946TO2018)	C0023434(1946)	C2004493(1988)	
C0023434(1946)	0	42	
C2004493(1988)	42	0	
PR(2)(1945TO2018)	C0034044(1945)	C0034833(1973)	
C0034044(1945)	0	28	
C0034833(1973)	28	0	
EGG(2)(1945TO2019)	C0013710(1945)	C0029974(1945)	
C0013710(1945)	0	0	
C0029974(1945)	0	0	
eCG(2)(1945TO2018)	C0018064(1945)	C1623258(1945)	
C0018064(1945)	0	0	
C1623258(1945)	0	0	
MBP(2)(1972TO2018)	C0014063(1972)	C0065661(1984)	
C0014063(1972)	0	12	
C0065661(1984)	12	0	
US(2)(1945TO2019)	C0041618(1945)	C0041703(1945)	
C0041618(1945)	0	0	
C0041703(1945)	0	0	
FTC(2)(1952TO2018)	C0206682(1952)	C0041713(1961)	
C0206682(1952)	0	9	
C0041713(1961)	9	0	
ERP(2)(1948TO2018)	C0015214(1948)	C0008310(1978)	
C0015214(1948)	0	30	
C0008310(1978)	30	0	
Plaque(2)(1946TO2018)	C0011389(1946)	C0333463(1947)	
C0011389(1946)	0	1	
C0333463(1947)	1	0	
Phosphorylase(2)(1946TO2018)	C0017916(1946)	C0917783(1946)	
C0017916(1946)	0	0	
C0917783(1946)	0	0	
Ion(2)(1945TO2018)	C0022023(1945)	C0022024(1946)	
C0022023(1945)	0	1	
C0022024(1946)	1	0	
Hemlock(2)(1954TO2018)	C0242872(1954)	C0949851(1962)	
C0242872(1954)	0	8	
C0949851(1962)	8	0	
Hip(2)(1945TO2018)	C0019552(1945)	C0022122(1947)	
C0019552(1945)	0	2	
C0022122(1947)	2	0	
TLC(2)(1954TO2019)	C0040509(1954)	C0008569(1956)	
C0040509(1954)	0	2	
C0008569(1956)	2	0	
Wasp(2)(1945TO2018)	C0043041(1945)	C0258432(1994)	
C0043041(1945)	0	49	
C0258432(1994)	49	0	
Milk(2)(1945TO2019)	C0026131(1945)	C0026140(1945)	
C0026131(1945)	0	0	
C0026140(1945)	0	0	
RBC(2)(1945TO2019)	C0014772(1945)	C0014792(1945)	
C0014772(1945)	0	0	
C0014792(1945)	0	0	
Ventricles(2)(1945TO2018)	C0007799(1945)	C0018827(1945)	
C0007799(1945)	0	0	
C0018827(1945)	0	0	
INDO(2)(1946TO2018)	C0021247(1946)	C0021246(1963)	
C0021247(1946)	0	17	
C0021246(1963)	17	0	
ADH(2)(1948TO2018)	C0001942(1948)	C0003779(1954)	
C0001942(1948)	0	6	
C0003779(1954)	6	0	
Nursing(2)(1945TO2018)	C0006147(1945)	C0028677(1945)	
C0006147(1945)	0	0	
C0028677(1945)	0	0	
Ala(3)(1945TO2019)	C0001898(1945)	C0051405(1947)	C0002563(1953)	
C0001898(1945)	0	2	8	
C0051405(1947)	2	0	6	
C0002563(1953)	8	6	0	
PCD(2)(1946TO2019)	C0022521(1946)	C0162638(1965)	
C0022521(1946)	0	19	
C0162638(1965)	19	0	
Ganglion(2)(1945TO2018)	C0017067(1945)	C1258666(1946)	
C0017067(1945)	0	1	
C1258666(1946)	1	0	
posterior pituitary(2)(1946TO2018)	C0032009(1946)	C0032017(1947)	
C0032009(1946)	0	1	
C0032017(1947)	1	0	
ALS(2)(1946TO2018)	C0002736(1946)	C0003372(1968)	
C0002736(1946)	0	22	
C0003372(1968)	22	0	
Compliance(2)(1952TO2019)	C1321605(1952)	C0009563(1958)	
C1321605(1952)	0	6	
C0009563(1958)	6	0	
MHC(2)(1975TO2018)	C0024518(1975)	C0027100(1986)	
C0024518(1975)	0	11	
C0027100(1986)	11	0	
Polymyalgia Rheumatica(2)(1946TO2018)	C0039483(1946)	C0032533(1955)	
C0039483(1946)	0	9	
C0032533(1955)	9	0	
BPD(2)(1956TO2018)	C0006012(1956)	C0006287(1981)	
C0006012(1956)	0	25	
C0006287(1981)	25	0	
Potassium(2)(1945TO2019)	C0032821(1945)	C0162800(1948)	
C0032821(1945)	0	3	
C0162800(1948)	3	0	
SLS(2)(1945TO2019)	C0037506(1945)	C0037231(1960)	
C0037506(1945)	0	15	
C0037231(1960)	15	0	
CPDD(2)(1960TO2018)	C0553730(1960)	C0008838(1972)	
C0553730(1960)	0	12	
C0008838(1972)	12	0	
THYMUS(3)(1945TO2018)	C0040113(1945)	C1015036(1945)	C0040112(1949)	
C0040113(1945)	0	0	4	
C1015036(1945)	0	0	4	
C0040112(1949)	4	4	0	
Malaria(2)(1945TO2019)	C0024530(1945)	C0206255(1945)	
C0024530(1945)	0	0	
C0206255(1945)	0	0	
Cell(2)(1945TO2018)	C0007634(1945)	C1136359(1999)	
C0007634(1945)	0	54	
C1136359(1999)	54	0	
ANA(2)(1950TO2018)	C0002463(1950)	C0003243(1959)	
C0002463(1950)	0	9	
C0003243(1959)	9	0	
ORI(2)(1983TO2018)	C0242961(1983)	C0206601(1993)	
C0242961(1983)	0	10	
C0206601(1993)	10	0	
cRNA(2)(1947TO2018)	C1321571(1947)	C0056208(1955)	
C1321571(1947)	0	8	
C0056208(1955)	8	0	
Parotitis(2)(1945TO2018)	C0026780(1945)	C0030583(1945)	
C0026780(1945)	0	0	
C0030583(1945)	0	0	
Root(2)(1945TO2019)	C0040452(1945)	C0242726(1945)	
C0040452(1945)	0	0	
C0242726(1945)	0	0	
PAF(2)(1979TO2018)	C0032172(1979)	C0037019(1980)	
C0032172(1979)	0	1	
C0037019(1980)	1	0	
Sterilization(2)(1945TO2018)	C0038280(1945)	C0038288(1945)	
C0038280(1945)	0	0	
C0038288(1945)	0	0	
FA(2)(1945TO2018)	C0016410(1945)	C0015625(1946)	
C0016410(1945)	0	1	
C0015625(1946)	1	0	
CAD(2)(1945TO2018)	C1956346(1945)	C0011905(1970)	
C1956346(1945)	0	25	
C0011905(1970)	25	0	
BSE(2)(1952TO2018)	C0085105(1952)	C0085209(1991)	
C0085105(1952)	0	39	
C0085209(1991)	39	0	
Coffee(2)(1946TO2019)	C0009237(1946)	C0085952(1947)	
C0009237(1946)	0	1	
C0085952(1947)	1	0	
SPR(2)(1981TO2019)	C0164209(1981)	C0597731(1998)	
C0164209(1981)	0	17	
C0597731(1998)	17	0	
WBS(2)(1981TO2018)	C0004903(1981)	C0175702(1995)	
C0004903(1981)	0	14	
C0175702(1995)	14	0	
Cortex(2)(1945TO2018)	C0007776(1945)	C0001614(1950)	
C0007776(1945)	0	5	
C0001614(1950)	5	0	
TMP(2)(1954TO2018)	C0040079(1954)	C0041041(1964)	
C0040079(1954)	0	10	
C0041041(1964)	10	0	
veterinary(2)(1945TO2018)	C0042615(1945)	C0206212(1963)	
C0042615(1945)	0	18	
C0206212(1963)	18	0	
TAT(3)(1945TO2018)	C0039756(1945)	C0039341(1985)	C0017375(1989)	
C0039756(1945)	0	40	44	
C0039341(1985)	40	0	4	
C0017375(1989)	44	4	0	
Glycoside(2)(1945TO2018)	C0007158(1945)	C0017977(1946)	
C0007158(1945)	0	1	
C0017977(1946)	1	0	
DAT(2)(1946TO2018)	C0002395(1946)	C0114838(1989)	
C0002395(1946)	0	43	
C0114838(1989)	43	0	
CLS(2)(1996TO2018)	C0343084(1996)	C0265252(2002)	
C0343084(1996)	0	6	
C0265252(2002)	6	0	
RB(2)(1946TO2018)	C0035335(1946)	C0035930(1951)	
C0035335(1946)	0	5	
C0035930(1951)	5	0	
DE(2)(1945TO2019)	C0011198(1945)	C0017480(1945)	
C0011198(1945)	0	0	
C0017480(1945)	0	0	
Erythrocytes(2)(1945TO2019)	C0014772(1945)	C0014792(1945)	
C0014772(1945)	0	0	
C0014792(1945)	0	0	
Adrenal(2)(1945TO2018)	C0001625(1945)	C0014563(1945)	
C0001625(1945)	0	0	
C0014563(1945)	0	0	
Heregulin(2)(1992TO2018)	C0752253(1992)	C0626201(1994)	
C0752253(1992)	0	2	
C0626201(1994)	2	0	
Ca(3)(1945TO2019)	C0006675(1945)	C0006754(1945)	C0006823(1945)	
C0006675(1945)	0	0	0	
C0006754(1945)	0	0	0	
C0006823(1945)	0	0	0	
DBA(2)(1947TO2018)	C0025923(1947)	C1260899(1947)	
C0025923(1947)	0	0	
C1260899(1947)	0	0	
